ZIP,city,state_id,state_name,population,density,MSA_Name,UHII
1001,Agawam,MA,Massachusetts,16136.0,551.7,"Springfield, MA",2.02553078355261
1002,Amherst,MA,Massachusetts,24726.0,179.3,"Springfield, MA",-0.0974159071006882
1007,Belchertown,MA,Massachusetts,15406.0,108.4,"Springfield, MA",-2.4225404247657
1013,Chicopee,MA,Massachusetts,22950.0,1565.6,"Springfield, MA",3.76210870091228
1020,Chicopee,MA,Massachusetts,30230.0,936.7,"Springfield, MA",4.38537863366611
1022,Chicopee,MA,Massachusetts,2045.0,164.0,"Springfield, MA",4.87368874508807
1027,Easthampton,MA,Massachusetts,17678.0,168.2,"Springfield, MA",-0.434836984586708
1028,East Longmeadow,MA,Massachusetts,16283.0,486.6,"Springfield, MA",1.39365220051743
1030,Feeding Hills,MA,Massachusetts,12374.0,397.2,"Springfield, MA",1.28698672105975
1033,Granby,MA,Massachusetts,6088.0,84.5,"Springfield, MA",-1.62723150147276
1035,Hadley,MA,Massachusetts,5299.0,88.6,"Springfield, MA",-0.0084429596700722
1036,Hampden,MA,Massachusetts,4937.0,97.2,"Springfield, MA",-1.09259821065271
1039,Haydenville,MA,Massachusetts,1660.0,38.9,"Springfield, MA",-3.441434045
1040,Holyoke,MA,Massachusetts,37949.0,692.3,"Springfield, MA",2.46205143135219
1050,Huntington,MA,Massachusetts,2573.0,24.0,"Springfield, MA",-3.99089864260893
1053,Leeds,MA,Massachusetts,2033.0,136.5,"Springfield, MA",-2.642940651
1056,Ludlow,MA,Massachusetts,20846.0,296.0,"Springfield, MA",0.870899446768469
1057,Monson,MA,Massachusetts,8200.0,71.1,"Springfield, MA",-2.0666506560928
1060,Northampton,MA,Massachusetts,15237.0,541.3,"Springfield, MA",1.69425941888973
1062,Florence,MA,Massachusetts,9188.0,203.3,"Springfield, MA",-0.903533884730788
1069,Palmer,MA,Massachusetts,9077.0,124.9,"Springfield, MA",-1.61281220008167
1071,Russell,MA,Massachusetts,1219.0,30.0,"Springfield, MA",-4.036489818
1073,Southampton,MA,Massachusetts,6212.0,85.2,"Springfield, MA",-1.71057641378047
1075,South Hadley,MA,Massachusetts,17410.0,379.3,"Springfield, MA",-0.293739880099688
1077,Southwick,MA,Massachusetts,9222.0,115.4,"Springfield, MA",-1.14939633440781
1079,Thorndike,MA,Massachusetts,282.0,67.7,"Springfield, MA",-1.635153388
1080,Three Rivers,MA,Massachusetts,2308.0,535.1,"Springfield, MA",-2.08353296
1082,Ware,MA,Massachusetts,10418.0,85.6,"Springfield, MA",-3.010259645
1085,Westfield,MA,Massachusetts,41466.0,268.1,"Springfield, MA",1.29898984564204
1089,West Springfield,MA,Massachusetts,28635.0,660.8,"Springfield, MA",2.00362787748877
1095,Wilbraham,MA,Massachusetts,14615.0,250.9,"Springfield, MA",-0.182516443609873
1103,Springfield,MA,Massachusetts,2336.0,2074.4,"Springfield, MA",6.09146569446338
1104,Springfield,MA,Massachusetts,21745.0,1604.7,"Springfield, MA",5.03719075746236
1105,Springfield,MA,Massachusetts,11469.0,3672.1,"Springfield, MA",5.50157621858742
1106,Longmeadow,MA,Massachusetts,15961.0,642.9,"Springfield, MA",0.690218223699025
